URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/cruzeiro/2015481/live,Atletico Pr,Cruzeiro,2015,30,2,2, 46% , 54% ,1,8,,,1, ,,,70,73,35,41,3,5,,,,,5,2,,,20,7,12,23,6,6,23,43, ,11
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/fluminense/2015489/live,Cruzeiro,Fluminense,2015,31,2, , 53% , 47% ,4, ,,,3, ,10,6,50,43,35,22,1, ,,,,,2,1,,,13,15,15,14,9,17,17,16,7,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/coritiba/2015486/live,Ponte Preta,Coritiba,2015,31,3, , 48% , 52% ,8,4,,, ,1,4,5,52,47,31,21,2,1,,,,,3,3,,,29,25,28,31,6,12,27,28,6,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/joinville/figueirense/2015493/live,Joinville,Figueirense,2015,31,1, , 52% , 48% ,5,3,,,1,2,5,5,75,72,38,37,4,2,,,1, ,2,2,,,23,16,18,27,6,11,33,24,5,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/corinthians/2015491/live,Atletico Pr,Corinthians,2015,31,1,4, 54% , 46% ,4,1,,,1,1,4,3,86,60,44,28,4,1,,,,,1,1,,,13,12,13,17,3,13,27,23,7,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/vasco/2015484/live,Sao Paulo,Vasco,2015,31,2,2, 50% , 50% ,5,8, ,1,1, ,7,4,60,49,38,36,4,2, ,1,1, ,2,1,,,10,16,18,14,6,12,20,18,4,7
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/internacional/2015487/live,Flamengo,Internacional,2015,31, ,1, 59% , 41% ,3, ,1, ,3,2,9,6,60,46,34,25,,,,,,, ,2,,,18,22,24,19,6,16,31,20,5,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/chapecoense/2015488/live,Gremio,Chapecoense,2015,31,2,3, 51% , 49% ,6,4, ,1, ,1,7,10,58,55,47,32,2,1, ,1,,,2,2, ,1,16,12,14,18,9,11,24,26,5,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/flamengo/2015494/live,Corinthians,Flamengo,2015,32,1, , 53% , 47% ,4, ,,,,,5,5,47,52,24,30,1,5,,, ,1,3,2,,,17,20,25,18,8,7,32,25,1,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vasco/gremio/2015497/live,Vasco,Gremio,2015,32,,, 56% , 44% ,6,7,1, ,5,1,9,7,51,46,31,28,4,4,,,,,1,2,,,12,16,20,16,9,10,21,18,3,9
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/atletico-pr/2015496/live,Fluminense,Atletico Pr,2015,32, ,1, 52% , 48% ,11,4,,,1,2,8,6,48,46,34,34,2,1,,,,,1,3,,,4,19,21,6,9,10,31,21,7,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/goias/2015485/live,Santos,Goias,2015,31,3,1, 59% , 41% ,4, ,1, ,,,4,6,71,45,46,23,5,1,,,,, ,1,,,8,8,9,13,9,7,31,17,3,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/figueirense/santos/2015500/live,Figueirense,Santos,2015,32,,, 42% , 58% ,5,3,,,2, ,9,2,57,61,33,34,3,1,,,,,5,2,,,22,22,23,26,7,13,20,16,4,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/joinville/2015498/live,Internacional,Joinville,2015,32,1, , 60% , 40% ,2,3,,,2, ,7,4,67,69,49,44,4,1,,,,,1,2,,,12,18,19,16,7,12,43,23,4,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sport/atletico-mg/2015492/live,Sport,Atletico Mg,2015,31,4,1, 45% , 55% ,1,2,,,1, ,5,2,50,45,28,19,1,1, ,1, ,1, ,1,,,11,7,9,12,5,5,12,13,4,7
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/sport/2015495/live,Palmeiras,Sport,2015,32, ,2, 57% , 43% ,6,1,,,1, ,8,4,61,47,49,27,1,2, ,1,,,2,1,,,13,8,10,15,5,12,28,25,11,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/goias/cruzeiro/2015502/live,Goias,Cruzeiro,2015,32, ,1, 50% , 50% ,6,1,,,4,1,4,6,68,50,34,24,,,,,,,4,4,,,13,11,11,13,8,7,20,22,8,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/sao-paulo/2015501/live,Coritiba,Sao Paulo,2015,32,1,2, 44% , 56% ,4,5,,,,,4,5,64,77,36,44,2,1,,,,,4,3,1, ,16,21,22,18,12,5,23,20,3,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/avai/2015503/live,Chapecoense,Avai,2015,32, , , 57% , 43% ,2,3,,,1,3,8,5,71,43,35,22, ,1,,,,,1,2,,,18,16,17,18,7,16,42,32,2,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-mg/ponte-preta/2015499/live,Atletico Mg,Ponte Preta,2015,32,2,1, 57% , 43% ,9,2,,,1, ,6,3,76,67,44,25, ,2,,,,,2,1,,,13,12,14,13,3,9,26,25,6,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/joinville/2015506/live,Ponte Preta,Joinville,2015,33,1, , 46% , 54% , ,5, ,1,,,4,5,40,53,20,32,1, ,,,,,3,5,,,20,17,17,21,12,4,28,35,7,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/sport/2015504/live,Sao Paulo,Sport,2015,33,3, , 57% , 43% ,6,4,1, ,2,4,7,3,62,47,36,25,3,2,,,,,1,2,,,10,15,17,13,5,11,22,22,4,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/figueirense/2015511/live,Coritiba,Figueirense,2015,33,1,1, 59% , 41% ,4,2,,,,,6,2,74,67,38,29,3,2,,,,,2,5,,,13,29,31,16,5,13,23,22,7,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/avai/cruzeiro/2015510/live,Avai,Cruzeiro,2015,33,1,1, 51% , 49% ,3,4,,,3,1,4,9,76,70,45,32,1, ,,,,,3,3,,,16,16,16,17,15,9,32,41,4,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/flamengo/2015508/live,Gremio,Flamengo,2015,33,2, , 48% , 52% ,5,3,1, ,1, ,4,2,50,49,31,32,1, ,,, ,1, ,1,,,11,11,11,12,11,5,25,17,6,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/palmeiras/2015505/live,Santos,Palmeiras,2015,33,,, 50% , 50% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-mg/corinthians/2015509/live,Atletico Mg,Corinthians,2015,33, ,3, 60% , 40% ,6,3,,,2,2,7,2,75,65,51,31,5,1,,,,,1, ,,,10,15,16,15,4,17,26,21,11,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vasco/fluminense/2015507/live,Vasco,Fluminense,2015,33, ,1, 54% , 46% ,2,2,1, ,4,4,6,4,42,38,19,20, ,2,,, ,1,2,4,,,19,21,23,19,5,4,24,12,13,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/coritiba/2015514/live,Corinthians,Coritiba,2015,34,2,1, 58% , 42% ,3,1,1,1,,,2,8,52,48,28,33,1,2,1, ,,, ,3,,,5,16,18,6,9,6,18,29,6,7
