URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_target,away_team_shots_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_shots_wide,away_team_shots_wide,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/coritiba/1645201/live,Gremio,Coritiba,2014,12, 2 , 3 , 60% , 40% , 5 , 2 ,,, , 2 ,,, 6 , 5 ,,, 80 , 71 , 48 , 25 , 1 , 1 ,,,,, 1 , 2 ,,, 19 , 21 , 22 , 20 , 8 , 11 , 27 , 19 , 2 , 3 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/criciuma/1645206/live,Sao Paulo,Criciuma,2014,13, 1 , 1 , 63% , 37% , 9 , 1 ,,,,,,, 8 , 3 ,,, 59 , 29 , 41 , 12 , 4 , ,,,,, 1 , 1 ,,, 13 , 15 , 15 , 17 , 6 , 11 , 29 , 21 , 10 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/corinthians/1645208/live,Coritiba,Corinthians,2014,13,,, 49% , 51% , 4 , 4 ,,,,,,, 1 , 5 ,,, 71 , 63 , 34 , 24 , 3 , 1 ,,, , 1 , 3 , 2 ,,, 26 , 15 , 16 , 29 , 9 , 8 , 33 , 28 , 4 , 6 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/flamengo/1645213/live,Chapecoense,Flamengo,2014,13, 1 , , 42% , 58% , 7 , 4 ,,,,, , 1 , 6 , 2 ,,, 67 , 70 , 35 , 36 , , 1 ,,,,, 4 , 1 ,,, 19 , 14 , 15 , 19 , 7 , 13 , 24 , 25 , 8 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vitoria/gremio/1645210/live,Vitoria,Gremio,2014,13, 2 , 1 , 48% , 52% , 3 , 2 ,,,,, 1 , 3 , 5 , 8 ,,, 55 , 49 , 40 , 38 , , 3 , 1 , ,,,,,,, 12 , 12 , 15 , 12 , 8 , 11 , 18 , 27 , 3 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/botafogo/cruzeiro/1645204/live,Botafogo,Cruzeiro,2014,13, 1 , 1 , 40% , 60% , 4 , 8 ,,, , 1 , 1 , 3 , 4 , 8 ,,, 53 , 84 , 27 , 46 , 1 , 3 ,,,,, 2 , 1 ,,, 15 , 21 , 24 , 16 , 13 , 5 , 20 , 17 , 5 , 6 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/figueirense/sport/1645212/live,Figueirense,Sport,2014,13, 3 , , 48% , 52% , 5 , 1 ,,,,, 3 , 2 , 6 , 3 ,,, 59 , 60 , 39 , 33 , 4 , ,,,,, 1 , 1 ,,, 11 , 16 , 16 , 15 , 8 , 10 , 21 , 28 , 3 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/bahia/1645207/live,Palmeiras,Bahia,2014,13, 1 , 1 , 62% , 38% , 5 , 3 ,,,,, 4 , 2 , 13 , 4 ,,, 77 , 60 , 48 , 28 , , 2 ,,,,, 3 , 3 ,,, 21 , 15 , 17 , 21 , 7 , 17 , 28 , 19 , 8 , 3 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/goias/1645205/live,Fluminense,Goias,2014,13, 2 , , 46% , 54% , 5 , 5 ,,,,, 1 , 2 , 2 , 4 ,,, 40 , 44 , 28 , 23 , , 1 ,,,,, 1 , 1 ,,, 17 , 13 , 15 , 17 , 6 , 4 , 18 , 13 , 4 , 7 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/goias/1645220/live,Bahia,Goias,2014,14, 1 , , 47% , 53% , 6 , 2 ,,,,, 1 , 2 , 5 , 8 ,,, 42 , 39 , 30 , 23 , 2 , 2 ,,,,, 4 , 2 ,,, 26 , 25 , 27 , 30 , 10 , 9 , 26 , 33 , 4 , 5 
